date;ip;bgp_dbp;bgp_lift;nb_occurrences_dbp;nb_occurrences_lift;rank_dbp;rank_lift;precision;recall
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Ozark_(Alabama)'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Ozark_(Alabama)'))];1;1;1;1;1;1
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Ozark_(Alabama)'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Leblon'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Ozark_(Alabama)'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Villa_San_Giovanni_(metropolitana_di_Milano)'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Ozark_(Alabama)'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/1722'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Ozark_(Alabama)'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Weiach'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Ozark_(Alabama)'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Bertioga'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Ozark_(Alabama)'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Categoria:Toronto'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Weiach'))];[(rdflib.term.Variable('cb824e064b74b9af5fc4656df6af263c357066d63acb49cbec50f82612d3ee6bc8'), rdflib.term.Variable('cbdcc785165c6e04760c5808e9dbff50098e1843e7b2bb8421032a0e40735d99d1'), rdflib.term.Variable('cb3747e4a8cd6c1ecfaa5f3e4c7b3d2ac1751aa8b1e1fc0c2703a2dd0777b4ac1b'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Weiach'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Gyromitra_esculenta'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Weiach'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Ozark_(Alabama)'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Weiach'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Leblon'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Weiach'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Villa_San_Giovanni_(metropolitana_di_Milano)'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Weiach'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/1722'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Weiach'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Weiach'))];1;1;1;1;1;1
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Weiach'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Bertioga'))];1;1;1;1;0.0;0.0
2015-10-30T03-00-00;00803c96bbe4ce2fe9039610f273e775;[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Weiach'))];[(rdflib.term.Variable('cb0'), rdflib.term.URIRef('http://www.w3.org/2002/07/owl#sameAs'), rdflib.term.URIRef('http://it.dbpedia.org/resource/Categoria:Toronto'))];1;1;1;1;0.0;0.0
